t,sigma_t,S_t
0.35100000000000003,0.03071946493065751,103.61180153016507
0.35150000000000003,0.029905257275588192,104.43306893516271
0.352,0.028286501372486627,104.8506492041489
0.3525,0.026547843042574293,104.9531499025027
0.353,0.02723039124623479,105.35696889602818
0.3535,0.025832157439726652,105.41750894351458
0.354,0.02774537282771718,105.43078153700874
0.3545,0.025437445027763697,105.2970025892966
0.355,0.027274326748727352,105.88831378396668
0.3555,0.027527192205459912,105.57251917280503
0.356,0.02743826169401406,106.17691975404345
0.3565,0.026851600918398697,106.37774957302521
0.357,0.027310068712693515,105.83658143756945
0.3575,0.02728738247221335,105.98460068067938
0.358,0.02852904341347957,105.16672333538695
0.3585,0.0286756757201247,105.41938047863906
0.359,0.02886339901440258,105.7769586833537
0.3595,0.028465705148999414,105.54315928081016
0.36,0.028418555899336152,105.59657484625531
0.3605,0.028784007504915575,106.3786478663699
0.361,0.026854482288622302,106.17880058996968
0.3615,0.025392145718889703,105.77105528049731
0.362,0.0262085670304595,106.33369343175978
0.3625,0.02641481322099981,107.09339812551474
0.363,0.026234601351881954,107.09912021242468
0.3635,0.026275278552752815,107.49574017350272
0.364,0.02667381779432388,108.02271629444454
0.3645,0.026102450687283757,107.73413008804283
0.365,0.025279774715744746,107.5495557596408
0.3655,0.02551073940728414,108.02450334074092
0.366,0.0244842057520773,108.67891267952717
0.3665,0.02493600664227556,108.8972972911077
0.367,0.023155052759373837,108.56334959902178
0.3675,0.024230854395347366,109.30170276071503
0.368,0.024748002281706236,109.10406755294102
0.3685,0.025041068701055998,108.9798084866937
0.369,0.02610666405365191,109.11617936315432
0.3695,0.027932681593127374,109.73324091772471
0.37,0.029088040560440457,110.08783753335128
0.3705,0.026998266692812894,110.26641728147574
0.371,0.025607374771389173,110.45852079985661
0.3715,0.02495824144987026,110.48013811052508
0.372,0.025008454703531222,110.70238795824928
0.3725,0.025580095162043907,109.71659896185965
0.373,0.024823077907528544,109.60460437460468
0.3735,0.025043237163195727,109.70217192924693
0.374,0.024263775179692595,109.2597467089499
0.3745,0.02364838880041517,109.4111367203403
0.375,0.022221818990906816,109.3385860409336
0.3755,0.021325261392570065,109.98275788187208
0.376,0.020029149046774674,110.55208240517902
